Indicator,  Merchandise imports by product group – annual (Million US dollar),,,,,,,,
,,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2015,2016,2017,2018,2019,2020,
Armenia,SI3_AGG - TO - Total merchandise,World,3239,3273,4189,4963,5514,4559,
Armenia,SI3_AGG - AG - Agricultural products,World,705,679,745,827,902,853,
Armenia,SI3_AGG - AGFO - Food,World,644,618,701,779,835,806,
Armenia,SI3_AGG - MI - Fuels and mining products,World,764,644,724,780,879,818,
Armenia,SI3_AGG - MIFU - Fuels,World,674,567,627,678,765,718,
Armenia,SI3_AGG - MA - Manufactures,World,1764,1867,2365,3152,3169,2837,
Armenia,SI3_AGG - MAIS - Iron and steel,World,86,77,99,131,126,140,
Armenia,SI3_AGG - MACH - Chemicals,World,370,386,485,498,577,504,
Armenia,SI3_AGG - MACHPH - Pharmaceuticals,World,112,111,185,159,210,162,
Armenia,SI3_AGG - MAMT - Machinery and transport equipment,World,590,585,780,1140,1172,1055,
Armenia,SI3_AGG - MAMTOF - Office and telecom equipment,World,105,162,162,264,265,238,
Armenia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,36,35,43,82,54,63,
Armenia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,65,125,113,172,192,139,
Armenia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,4,3,6,10,19,37,
Armenia,SI3_AGG - MAMTTE - Transport equipment,World,161,109,149,209,304,188,
Armenia,SI3_AGG - MAMTAU - Automotive products,World,149,94,136,174,270,153,
Armenia,SI3_AGG - MATE - Textiles,World,54,82,79,122,120,105,
Armenia,SI3_AGG - MACL - Clothing,World,81,109,137,193,170,137,
"Aruba, the Netherlands with respect to",SI3_AGG - TO - Total merchandise,World,1250,1138,1124,1231,1204,865,
"Aruba, the Netherlands with respect to",SI3_AGG - AG - Agricultural products,World,362,337,357,353,379,291,
"Aruba, the Netherlands with respect to",SI3_AGG - AGFO - Food,World,356,334,353,349,374,287,
"Aruba, the Netherlands with respect to",SI3_AGG - MI - Fuels and mining products,World,74,69,86,88,83,55,
"Aruba, the Netherlands with respect to",SI3_AGG - MIFU - Fuels,World,60,46,65,76,69,46,
"Aruba, the Netherlands with respect to",SI3_AGG - MA - Manufactures,World,714,706,676,788,738,517,
"Aruba, the Netherlands with respect to",SI3_AGG - MAIS - Iron and steel,World,6,7,7,6,7,5,
"Aruba, the Netherlands with respect to",SI3_AGG - MACH - Chemicals,World,107,108,112,118,116,110,
"Aruba, the Netherlands with respect to",SI3_AGG - MACHPH - Pharmaceuticals,World,28,30,33,35,38,38,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMT - Machinery and transport equipment,World,231,238,252,275,306,200,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTOF - Office and telecom equipment,World,68,55,59,67,56,52,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,20,17,20,20,19,18,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTOTTL - Telecommunications equipment,World,45,35,37,35,34,30,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,3,3,3,12,3,4,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTTE - Transport equipment,World,81,87,89,95,89,45,
"Aruba, the Netherlands with respect to",SI3_AGG - MAMTAU - Automotive products,World,69,75,78,82,77,37,
"Aruba, the Netherlands with respect to",SI3_AGG - MATE - Textiles,World,14,13,13,14,15,13,
"Aruba, the Netherlands with respect to",SI3_AGG - MACL - Clothing,World,50,47,49,50,48,29,
Asia,SI3_AGG - TO - Total merchandise,World,5452417,5213770,6004760,6758036,6500122,6073944,
Asia-Pacific Economic Cooperation (APEC),SI3_AGG - TO - Total merchandise,World,8313811,8009880,8962003,9928867,9648556,9046758,
Association of Southeast Asian Nations (ASEAN),SI3_AGG - TO - Total merchandise,World,1097816,1082240,1258893,1428906,1392809,1269497,
Australia,SI3_AGG - TO - Total merchandise,World,208501,196270,228780,235386,221564,211109,
Australia,SI3_AGG - AG - Agricultural products,World,14557,14769,16399,17153,17314,17559,
Australia,SI3_AGG - AGFO - Food,World,13120,13434,14831,15367,15848,16126,
Australia,SI3_AGG - MI - Fuels and mining products,World,24918,20531,26842,34713,30713,20686,
Australia,SI3_AGG - MIFU - Fuels,World,21747,17533,23647,31280,27863,17231,
Australia,SI3_AGG - MA - Manufactures,World,151472,146031,165092,170982,162320,162479,
Australia,SI3_AGG - MAIS - Iron and steel,World,3784,1888,1786,2190,1682,1650,
Australia,SI3_AGG - MACH - Chemicals,World,20188,20479,20814,22117,21491,23086,
Australia,SI3_AGG - MACHPH - Pharmaceuticals,World,7756,8336,8705,8960,9254,9759,
Australia,SI3_AGG - MAMT - Machinery and transport equipment,World,79238,77031,92912,93373,88132,85291,
Australia,SI3_AGG - MAMTOF - Office and telecom equipment,World,20393,19119,22193,24672,23221,23408,
Australia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,8762,7586,8941,9822,8986,9532,
Australia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,10546,10516,11340,12239,11713,11679,
Australia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1084,1016,1913,2612,2521,2197,
Australia,SI3_AGG - MAMTTE - Transport equipment,World,28207,30379,40686,35126,32358,29130,
Australia,SI3_AGG - MAMTAU - Automotive products,World,23731,24944,28728,29193,25864,22939,
Australia,SI3_AGG - MATE - Textiles,World,2705,2666,2840,2926,2734,4273,
Australia,SI3_AGG - MACL - Clothing,World,6602,6413,6907,7296,7285,7337,
Australia and New Zealand,SI3_AGG - TO - Total merchandise,World,245054,232348,268905,279178,263927,248262,
Austria,SI3_AGG - TO - Total merchandise,World,156046,157697,175755,193722,184758,172200,
Austria,SI3_AGG - AG - Agricultural products,World,15766,16114,17122,18321,17682,17766,
Austria,SI3_AGG - AGFO - Food,World,12362,12732,13583,14384,14205,14474,
Austria,SI3_AGG - MI - Fuels and mining products,World,18515,16051,19952,23990,21906,17189,
Austria,SI3_AGG - MIFU - Fuels,World,11690,9889,12129,15078,13726,9421,
Austria,SI3_AGG - MA - Manufactures,World,119334,123808,136641,149194,143897,134428,
Austria,SI3_AGG - MAIS - Iron and steel,World,4044,4075,4937,5702,4671,4068,
Austria,SI3_AGG - MACH - Chemicals,World,20885,21033,23301,25457,24820,24305,
Austria,SI3_AGG - MACHPH - Pharmaceuticals,World,8878,9241,10140,10671,11081,10920,
Austria,SI3_AGG - MAMT - Machinery and transport equipment,World,55324,58387,65368,70935,68752,62264,
Austria,SI3_AGG - MAMTOF - Office and telecom equipment,World,11262,11590,13234,14335,12809,12369,
Austria,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,3053,3275,3677,3857,3721,3820,
Austria,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,6884,6810,7768,8556,7329,6929,
Austria,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1325,1505,1789,1922,1759,1620,
Austria,SI3_AGG - MAMTTE - Transport equipment,World,20310,22573,25284,26201,26344,21878,
Austria,SI3_AGG - MAMTAU - Automotive products,World,15044,16808,18588,20231,19975,16266,
Austria,SI3_AGG - MATE - Textiles,World,2039,2098,2183,2318,2217,2835,
Austria,SI3_AGG - MACL - Clothing,World,5804,6243,6851,7283,7173,6749,
Azerbaijan,SI3_AGG - TO - Total merchandise,World,9217,8489,8783,11466,13668,10731,
Azerbaijan,SI3_AGG - AG - Agricultural products,World,1491,1671,1814,1858,2079,2039,
Azerbaijan,SI3_AGG - AGFO - Food,World,1352,1548,1665,1661,1882,1862,
Azerbaijan,SI3_AGG - MI - Fuels and mining products,World,376,388,488,871,1032,404,
Azerbaijan,SI3_AGG - MIFU - Fuels,World,150,283,379,724,827,280,
Azerbaijan,SI3_AGG - MA - Manufactures,World,6808,6395,5977,7782,8367,7762,
Azerbaijan,SI3_AGG - MAIS - Iron and steel,World,1197,790,652,933,738,664,
Azerbaijan,SI3_AGG - MACH - Chemicals,World,834,890,1035,1187,1306,1344,
Azerbaijan,SI3_AGG - MACHPH - Pharmaceuticals,World,271,196,249,291,297,378,
Azerbaijan,SI3_AGG - MAMT - Machinery and transport equipment,World,3179,2802,2458,3396,3852,3555,
Azerbaijan,SI3_AGG - MAMTOF - Office and telecom equipment,World,265,233,330,533,550,637,
