Reporting Economy,Product/Sector,Partner Economy,Year,Value,Product/Sector-reformatted,Type,Direction
Canada,BOP6 - SD - Travel,World,2015,33800.0,Travel,services,imports
Canada,BOP6 - SOX1 - Other commercial services,World,2015,48437.0,Other commercial services,services,imports
Canada,BOP6 - S - Memo item: Total services,World,2015,104753.0,Memo item: Total services,services,imports
China,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,161.0,Manufacturing services on physical inputs owned by others,services,imports
China,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,1319.0,Maintenance and repair services n.i.e.,services,imports
China,BOP6 - SC - Transport,World,2015,85340.0,Transport,services,imports
China,BOP6 - SD - Travel,World,2015,249831.0,Travel,services,imports
China,BOP6 - SOX1 - Other commercial services,World,2015,96325.0,Other commercial services,services,imports
China,BOP6 - S - Memo item: Total services,World,2015,435541.0,Memo item: Total services,services,imports
France,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,8655.0,Manufacturing services on physical inputs owned by others,services,imports
France,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,6799.0,Maintenance and repair services n.i.e.,services,imports
France,BOP6 - SC - Transport,World,2015,45025.0,Transport,services,imports
France,BOP6 - SD - Travel,World,2015,39529.0,Travel,services,imports
France,BOP6 - SOX1 - Other commercial services,World,2015,133392.0,Other commercial services,services,imports
France,BOP6 - S - Memo item: Total services,World,2015,233413.0,Memo item: Total services,services,imports
Germany,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,4637.0,Manufacturing services on physical inputs owned by others,services,imports
Germany,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,8429.0,Maintenance and repair services n.i.e.,services,imports
Germany,BOP6 - SC - Transport,World,2015,62330.0,Transport,services,imports
Germany,BOP6 - SD - Travel,World,2015,77512.0,Travel,services,imports
Germany,BOP6 - SOX1 - Other commercial services,World,2015,147554.0,Other commercial services,services,imports
Germany,BOP6 - S - Memo item: Total services,World,2015,302006.0,Memo item: Total services,services,imports
India,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,27.0,Manufacturing services on physical inputs owned by others,services,imports
India,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,309.0,Maintenance and repair services n.i.e.,services,imports
India,BOP6 - SC - Transport,World,2015,52257.0,Transport,services,imports
India,BOP6 - SD - Travel,World,2015,14838.0,Travel,services,imports
India,BOP6 - SOX1 - Other commercial services,World,2015,55260.0,Other commercial services,services,imports
India,BOP6 - S - Memo item: Total services,World,2015,123567.0,Memo item: Total services,services,imports
Indonesia,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,624.0,Maintenance and repair services n.i.e.,services,imports
Indonesia,BOP6 - SC - Transport,World,2015,9602.0,Transport,services,imports
Indonesia,BOP6 - SD - Travel,World,2015,7292.0,Travel,services,imports
Indonesia,BOP6 - SOX1 - Other commercial services,World,2015,13237.0,Other commercial services,services,imports
Indonesia,BOP6 - S - Memo item: Total services,World,2015,30918.0,Memo item: Total services,services,imports
Iran,BOP6 - SC - Transport,World,2015,3781.0,Transport,services,imports
Iran,BOP6 - SD - Travel,World,2015,8992.0,Travel,services,imports
Iran,BOP6 - SOX1 - Other commercial services,World,2015,2365.0,Other commercial services,services,imports
Iran,BOP6 - S - Memo item: Total services,World,2015,15870.0,Memo item: Total services,services,imports
Italy,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,2372.0,Manufacturing services on physical inputs owned by others,services,imports
Italy,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,841.0,Maintenance and repair services n.i.e.,services,imports
Italy,BOP6 - SC - Transport,World,2015,23460.0,Transport,services,imports
Italy,BOP6 - SD - Travel,World,2015,24423.0,Travel,services,imports
Italy,BOP6 - SOX1 - Other commercial services,World,2015,50441.0,Other commercial services,services,imports
Italy,BOP6 - S - Memo item: Total services,World,2015,103075.0,Memo item: Total services,services,imports
Japan,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,4494.0,Manufacturing services on physical inputs owned by others,services,imports
Japan,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,3453.0,Maintenance and repair services n.i.e.,services,imports
Japan,BOP6 - SC - Transport,World,2015,41036.0,Transport,services,imports
Japan,BOP6 - SD - Travel,World,2015,15976.0,Travel,services,imports
Japan,BOP6 - SOX1 - Other commercial services,World,2015,111668.0,Other commercial services,services,imports
Japan,BOP6 - S - Memo item: Total services,World,2015,178587.0,Memo item: Total services,services,imports
"Korea, Republic of",BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,8683.0,Manufacturing services on physical inputs owned by others,services,imports
"Korea, Republic of",BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,352.0,Maintenance and repair services n.i.e.,services,imports
"Korea, Republic of",BOP6 - SC - Transport,World,2015,29493.0,Transport,services,imports
"Korea, Republic of",BOP6 - SD - Travel,World,2015,25270.0,Travel,services,imports
"Korea, Republic of",BOP6 - SOX1 - Other commercial services,World,2015,46988.0,Other commercial services,services,imports
"Korea, Republic of",BOP6 - S - Memo item: Total services,World,2015,112124.0,Memo item: Total services,services,imports
Mexico,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,207.0,Maintenance and repair services n.i.e.,services,imports
Mexico,BOP6 - SC - Transport,World,2015,12814.0,Transport,services,imports
