NationRegionName,NationRegionType,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04
"China, P.R.: Mainland",Country,"198,541.32","156,784.83","177,402.68","185,890.52","191,425.45","192,404.21","203,684.75","196,469.35","217,971.41","216,929.98","203,940.36","204,748.29","198,088.65","173,222.19","185,815.51","176,070.84","181,074.58","191,855.90","198,761.21","196,347.39","208,316.48","209,214.80","197,393.75","191,507.80","183,729.44","163,000.00","169,362.53","166,721.93","178,988.56","189,029.44","183,616.97","201,251.53","202,685.40","201,337.80","200,892.61","201,056.11","198,362.45","159,332.28","187,215.22","179,786.72","200,147.59","201,045.15","206,532.26","215,801.59","216,523.40","217,855.77","228,063.50","219,237.78","229,312.70","191,662.16","196,673.35","196,247.60","217,233.40","212,233.29","227,840.53","231,516.28","226,342.67","249,124.81","234,724.51","216,179.40","233,857.43","176,996.25","194,657.43","202,310.18","216,329.17","201,147.94","228,405.11","215,841.17","219,986.64","230,414.14","217,189.21","211,298.95","213,568.53","148,367.62","162,866.00","186,115.97"
"Fiji, Rep. of",Country,81.89,41.70,71.86,68.66,58.49,73.47,91.62,85.78,130.15,83.36,82.49,62.45,65.11,73.84,66.09,60.32,51.19,59.82,47.56,49.53,86.48,83.53,71.42,56.33,56.24,53.45,75.10,48.96,54.99,65.17,60.69,61.77,87.86,68.27,54.37,55.69,46.69,48.85,64.37,63.72,59.74,69.84,58.65,81.45,81.12,68.52,59.02,74.69,54.62,44.57,64.22,63.75,51.75,62.60,51.99,61.22,53.12,75.49,67.80,62.42,71.84,39.31,59.99,50.20,50.99,44.49,55.90,63.37,62.57,78.67,79.38,53.66,61.73,48.90,42.53,39.55
French Polynesia,Country,11.95,9.14,26.41,11.47,14.83,16.46,14.18,22.79,28.94,14.95,13.26,16.55,13.94,9.75,21.63,11.70,14.55,15.33,20.62,15.53,19.68,11.31,15.41,16.24,10.50,11.43,22.42,17.21,10.76,15.47,11.06,15.63,24.82,10.65,19.54,12.73,9.48,18.24,18.19,12.20,11.31,16.57,23.75,11.12,26.88,14.74,15.14,23.57,16.69,15.37,23.87,26.28,11.66,20.46,16.22,8.44,34.80,12.53,16.82,20.14,9.84,8.83,22.92,34.92,9.35,16.44,11.92,11.99,22.58,12.32,11.01,32.61,8.22,7.17,7.97,3.80
Guam,Country,5.59,5.56,4.98,4.68,5.54,7.11,5.84,5.41,5.02,5.66,6.06,5.06,6.23,5.65,9.59,6.48,6.25,7.88,5.98,5.10,5.97,6.70,6.30,6.04,4.97,4.37,4.80,4.63,6.06,5.87,5.53,5.52,8.35,5.24,15.92,13.01,13.26,5.68,7.12,6.82,13.72,11.24,12.04,12.01,11.14,12.15,14.16,15.72,12.96,11.27,12.58,12.45,13.72,18.02,12.29,12.68,12.57,15.26,13.22,13.17,11.73,10.90,12.05,12.20,11.07,14.43,12.78,12.06,15.63,14.49,11.52,11.42,14.09,11.89,11.57,15.15
India,Country,"25,073.35","23,064.45","25,277.48","24,542.62","23,775.60","22,962.42","23,937.43","22,727.55","24,976.62","24,938.76","22,074.02","23,253.42","21,802.60","20,660.41","23,577.36","22,278.77","21,548.96","21,767.71","22,394.94","20,290.96","20,932.02","21,553.13","19,263.77","19,331.13","19,523.49","19,907.37","21,808.48","20,375.43","20,915.56","20,922.48","20,043.71","21,163.77","21,184.04","22,138.96","20,697.26","21,505.82","22,250.66","22,132.38","25,907.41","23,850.09","25,827.15","23,232.75","22,210.57","23,527.95","24,851.54","24,919.61","24,756.93","23,913.75","26,682.27","24,444.57","27,376.25","27,237.96","27,851.69","25,120.70","27,538.96","26,579.18","26,704.63","28,525.67","25,310.03","24,411.44","27,254.53","25,359.31","27,743.30","27,987.98","29,064.23","24,829.10","27,463.88","25,781.70","26,607.91","27,881.22","25,918.21","26,126.13","27,136.97","24,303.79","24,448.13","16,650.64"
Indonesia,Country,"18,611.79","16,196.20","17,806.93","17,164.89","16,677.82","15,969.69","17,572.34","16,321.77","16,195.00","17,112.45","15,830.66","16,319.67","15,460.04","13,206.14","15,607.52","15,178.17","14,737.85","15,166.59","15,240.68","13,518.52","14,371.96","14,675.01","12,935.01","14,157.15","12,780.04","13,111.61","14,278.16","13,088.77","13,507.26","14,151.62","13,040.19","13,918.16","14,400.40","14,300.04","14,643.86","15,441.56","15,467.43","14,015.42","15,795.83","13,808.61","16,388.20","15,593.25","14,902.39","16,182.22","16,798.94","17,529.35","17,765.44","16,772.49","18,007.44","16,171.48","18,146.42","17,222.73","17,145.57","16,655.67","17,414.37","18,378.50","17,598.72","18,913.35","17,375.16","16,094.57","17,459.53","15,522.15","16,949.96","16,310.67","17,289.05","15,238.22","17,257.06","17,556.03","16,971.38","18,045.09","16,769.88","17,570.59","17,036.66","15,919.45","16,653.39","14,409.94"
Kiribati,Country,14.82,6.20,6.93,5.27,1.80,2.96,4.90,6.38,8.32,9.06,4.89,11.16,20.36,5.54,10.34,5.07,16.18,9.88,6.84,9.61,5.66,10.64,13.82,20.56,7.18,7.33,8.80,4.14,13.08,12.93,14.62,16.79,17.42,13.30,19.66,8.61,7.07,8.65,18.32,20.18,7.73,9.15,14.85,16.23,28.33,10.82,16.28,21.46,23.50,13.11,14.16,8.97,9.34,9.17,7.57,15.18,14.81,3.01,20.68,14.00,15.01,14.20,12.90,9.61,10.25,7.85,12.71,15.06,8.60,9.17,4.01,12.19,12.83,3.82,3.71,3.27
Lao People's Dem. Rep.,Country,426.32,328.30,452.18,425.07,342.72,396.68,383.81,360.41,419.30,331.06,367.04,410.69,336.16,301.61,322.87,351.56,341.37,371.73,330.00,320.53,344.15,280.90,334.74,407.13,341.52,369.03,352.06,328.02,373.24,379.96,392.07,332.08,386.44,321.01,388.34,471.91,297.11,362.93,475.36,411.36,455.74,397.32,402.70,438.84,395.05,413.76,414.24,628.37,513.34,467.85,554.20,499.54,459.71,496.82,471.16,428.18,491.00,510.96,540.77,604.45,506.07,427.41,485.13,508.74,581.41,502.07,536.50,514.42,537.04,540.64,523.84,546.07,556.39,496.92,485.24,456.30
Malaysia,Country,"25,511.02","22,620.60","25,105.80","25,054.12","25,694.47","25,272.60","26,196.45","24,823.88","27,229.19","26,152.02","24,385.91","26,562.72","24,006.71","19,668.92","24,848.00","22,672.61","21,904.64","23,844.27","23,482.18","22,558.65","22,456.04","22,968.05","22,068.64","23,392.69","19,453.36","18,541.77","22,341.76","21,023.46","21,252.69","22,337.95","20,628.42","22,942.19","22,977.58","22,166.35","22,863.83","24,197.07","21,758.13","21,329.91","25,357.74","22,254.60","24,580.42","23,716.81","23,622.88","25,885.19","24,504.34","25,621.06","27,565.68","26,837.75","27,222.29","24,189.44","27,853.86","28,192.91","28,792.49","27,234.76","28,245.38","27,723.31","27,204.06","29,717.01","27,633.75","26,338.60","27,258.46","22,552.92","27,891.24","27,183.25","28,979.47","26,222.27","28,465.99","27,176.74","27,931.87","29,775.10","27,358.03","30,258.69","26,933.09","24,755.78","26,305.64","20,594.22"
Maldives,Country,16.12,26.14,24.02,14.85,15.99,14.71,15.85,14.01,18.63,17.94,16.41,16.46,23.61,16.52,24.35,28.09,20.82,21.11,21.31,15.03,17.03,16.21,16.66,19.34,18.49,18.42,21.01,22.45,30.89,22.01,11.83,25.33,17.50,27.43,28.74,30.50,31.69,36.21,41.49,38.66,26.55,28.92,40.72,27.30,23.25,39.03,36.58,41.70,56.11,40.17,53.01,39.95,40.29,30.71,43.74,38.09,56.46,57.18,62.57,22.50,29.44,28.46,19.94,20.49,29.46,42.96,33.23,15.73,15.40,16.07,15.02,18.27,23.80,17.60,14.06,12.13
"Marshall Islands, Rep. of the",Country,46.40,10.74,30.91,6.27,21.85,144.61,36.37,10.82,42.35,27.43,28.01,7.66,40.89,4.96,59.82,86.68,23.97,6.07,40.23,8.39,74.67,28.04,41.64,75.91,6.86,26.02,28.21,17.59,5.44,4.13,29.97,43.44,18.25,20.45,16.07,6.25,24.89,43.59,23.93,14.14,24.23,56.20,36.31,28.88,95.45,40.07,19.95,222.73,29.21,6.96,54.86,9.88,80.17,36.71,101.29,93.66,92.03,13.12,73.88,75.21,32.97,14.18,137.27,38.12,130.86,71.67,68.66,157.78,68.79,19.75,67.77,146.64,31.84,32.11,63.31,85.83
"Micronesia, Federated States of",Country,6.98,2.33,0.41,2.93,0.96,1.76,0.09,1.02,1.72,0.06,0.14,0.09,0.14,2.47,2.70,1.54,0.74,0.15,2.57,1.07,1.93,0.78,0.06,1.78,2.45,1.52,4.54,2.31,1.63,1.57,8.37,8.17,4.66,6.44,4.59,1.63,2.63,12.47,8.10,6.86,7.08,11.38,10.82,10.14,18.99,7.24,3.33,14.98,9.82,8.87,17.71,16.08,10.75,9.04,9.90,18.50,19.20,9.17,11.35,12.50,19.63,17.02,16.11,24.65,21.85,26.20,20.80,21.68,13.30,12.74,19.06,12.72,12.62,15.63,15.89,8.19
Mongolia,Country,242.73,163.44,305.63,428.80,446.24,480.05,530.72,607.64,858.45,480.76,568.54,614.60,432.08,293.79,325.36,368.12,355.54,502.20,454.70,358.21,319.97,311.05,334.60,435.09,284.43,284.16,322.95,371.32,387.56,400.72,315.47,356.86,309.56,332.35,670.40,516.57,399.62,343.60,434.31,595.00,552.33,551.07,450.92,495.59,524.07,523.65,519.73,565.38,430.91,389.04,508.66,637.70,754.99,719.68,606.13,567.57,770.68,763.56,582.67,594.95,508.60,388.17,653.00,694.68,704.33,670.12,603.52,697.46,616.57,568.99,603.03,493.94,360.54,395.23,206.60,310.91
Myanmar,Country,999.37,879.84,"1,619.44","1,507.66","1,379.16","1,633.21","1,666.08","1,518.25","5,964.38","4,106.99","1,688.16","1,223.44",856.63,953.74,950.16,"1,113.61",750.82,"1,269.31","1,476.01","1,014.89",979.30,996.17,"1,331.72","1,476.78",869.33,810.23,988.07,907.03,862.53,983.41,"1,017.38","1,017.81",932.08,"1,072.30",988.11,"1,146.88",787.42,945.97,"1,072.96","1,098.78","1,019.95",997.98,"1,199.20","1,204.01","1,168.58","1,131.26","1,184.37","1,325.00","1,345.33","1,134.43","1,261.26","1,227.42","1,176.24","1,132.95","1,217.40","1,380.37","1,317.63","1,470.87","1,282.14","1,320.89","1,444.05","1,252.73","1,553.42","1,531.30","1,429.90","1,417.87","1,725.23","1,767.50","1,732.65","1,853.96","1,587.14","1,640.18","1,506.31","1,492.91","1,797.81","1,445.47"
"Nauru, Rep. of",Country,2.41,9.65,2.27,4.36,4.62,9.60,6.15,7.60,2.43,3.08,2.45,2.76,6.92,1.84,1.85,1.71,5.65,1.63,1.72,6.57,7.73,1.47,1.55,7.34,0.13,5.93,3.72,0.87,5.76,0.38,0.12,0.42,0.21,0.17,1.57,0.32,3.18,1.47,6.19,2.23,3.84,4.73,1.75,3.89,1.50,2.71,1.51,6.68,2.06,2.55,2.04,1.30,1.97,4.45,4.93,3.59,1.89,5.19,2.64,4.10,5.67,5.56,4.47,6.99,9.93,4.59,4.04,2.82,4.42,2.95,5.20,7.52,5.44,10.65,7.42,5.14
Nepal,Country,80.43,78.17,51.62,81.79,76.73,72.68,88.32,80.03,99.78,91.19,87.99,85.74,76.28,81.69,98.16,71.45,73.87,73.34,78.74,64.84,55.26,56.43,45.36,60.51,58.73,58.56,64.30,53.83,62.58,73.91,64.82,69.51,65.21,59.69,53.52,59.69,61.07,109.00,125.37,90.85,122.26,91.29,106.15,108.96,112.03,137.23,149.92,160.67,134.62,84.35,109.17,99.78,103.21,96.22,111.28,95.79,106.73,105.47,111.05,133.04,114.15,113.89,130.79,128.13,141.13,130.69,139.27,140.40,127.04,135.91,138.67,152.57,117.10,119.54,147.99,60.94
New Caledonia,Country,118.45,96.34,131.85,120.77,160.70,150.91,144.95,143.15,144.46,166.16,138.49,118.04,163.74,90.07,139.78,137.61,117.70,138.07,121.73,120.29,115.96,118.48,106.80,101.64,128.62,71.62,96.38,106.48,94.33,98.90,106.37,107.26,135.78,115.45,167.51,135.15,135.94,113.52,112.26,136.57,110.47,140.63,117.86,95.46,167.81,94.55,182.92,140.73,173.62,149.74,145.69,178.82,149.06,226.82,144.34,201.63,178.83,153.86,183.25,165.10,181.00,119.87,96.50,182.19,131.04,117.31,123.63,115.25,153.77,187.38,176.45,209.17,172.04,126.96,135.17,165.57
"Palau, Rep. of",Country,1.29,1.12,1.09,1.27,1.43,0.95,1.12,2.42,1.27,1.49,0.80,0.77,0.74,0.35,0.52,1.04,1.00,0.70,0.25,0.89,4.61,0.48,0.80,1.77,6.38,0.65,0.56,0.46,0.13,0.05,1.99,0.06,0.07,0.11,0.18,0.41,0.48,0.07,0.06,0.74,0.67,2.04,2.47,3.81,3.95,2.30,2.02,2.80,11.92,1.87,2.64,1.97,5.84,1.26,1.23,3.04,2.23,1.85,1.35,2.96,2.28,1.50,2.66,1.92,0.98,1.31,1.40,1.80,1.26,2.33,1.35,4.83,0.90,0.71,0.94,0.68
Papua New Guinea,Country,572.71,573.12,528.38,632.11,667.01,909.86,"1,193.06","1,115.40",988.42,"1,159.97",755.13,"1,100.54","1,052.72",823.84,823.49,798.99,857.71,901.86,716.71,844.11,829.41,787.42,744.06,778.31,738.27,672.64,732.89,705.01,705.86,766.10,672.02,809.36,826.63,685.91,850.87,835.36,773.48,774.43,797.13,877.96,849.05,867.27,914.69,889.03,852.26,873.74,926.03,968.20,945.59,837.85,680.66,514.00,890.94,994.26,"1,056.10","1,182.77",974.36,925.84,"1,209.54",982.28,"1,162.27","1,017.13",934.38,"1,021.70",857.22,"1,004.62",891.14,"1,013.11",994.66,940.92,949.13,958.92,924.87,841.81,979.15,742.98
Philippines,Country,"6,072.57","5,632.57","6,600.29","6,245.78","6,533.39","6,554.04","7,500.28","7,050.10","7,503.71","6,874.40","6,581.18","6,763.91","6,160.42","5,458.89","7,080.55","6,477.53","6,146.68","6,583.16","6,716.73","6,385.05","6,791.05","6,335.28","6,185.61","6,386.01","5,359.06","5,328.67","6,284.26","6,058.54","6,227.62","6,421.59","6,434.29","7,004.42","6,834.82","6,764.39","6,768.11","6,998.09","6,190.90","6,301.88","7,619.44","6,699.92","7,520.56","7,372.90","7,426.46","8,091.89","7,925.47","7,865.73","8,075.61","7,798.54","7,960.72","6,878.87","8,278.81","7,519.23","8,083.18","7,985.90","8,375.90","8,313.39","8,361.33","8,532.57","8,316.25","7,271.83","7,444.96","6,659.09","8,439.49","7,991.61","8,062.10","7,779.24","8,296.67","7,996.22","7,988.81","8,218.97","7,733.75","7,687.78","6,995.77","6,301.46","7,443.87","5,218.19"
Samoa,Country,3.22,3.76,3.18,5.22,3.17,5.42,5.19,5.67,4.85,5.21,3.09,5.09,3.56,3.60,6.01,5.03,5.12,3.95,5.51,7.65,6.71,5.05,5.60,5.80,4.71,4.68,5.67,8.29,9.03,6.20,8.43,5.31,6.82,6.44,6.04,5.88,3.09,4.43,4.25,5.43,5.30,4.75,5.02,5.62,4.52,3.53,3.49,3.48,3.83,2.99,3.16,3.23,4.09,4.30,4.26,4.11,3.66,4.67,5.00,3.90,4.16,3.47,5.86,3.97,4.31,4.07,3.92,6.76,5.11,5.93,3.41,3.98,5.37,4.15,4.78,5.10
Solomon Islands,Country,66.06,41.51,56.99,64.42,46.60,44.92,68.21,54.82,61.87,77.87,50.34,72.63,69.05,36.35,70.52,73.76,72.94,69.35,53.69,34.23,58.19,46.41,59.19,78.36,47.56,48.62,48.59,39.16,55.14,43.64,60.06,39.18,59.15,43.62,79.22,49.29,52.78,66.83,66.94,68.84,71.41,59.12,71.43,53.03,92.09,63.63,97.07,73.08,73.28,72.63,101.58,63.59,81.18,96.46,71.78,79.07,70.48,79.55,69.28,46.80,77.77,39.55,54.45,78.75,60.79,69.30,66.83,59.69,43.43,56.68,47.24,52.04,32.02,37.49,62.71,69.36
Sri Lanka,Country,889.78,788.53,964.07,917.15,832.62,832.08,951.87,900.11,944.12,935.85,871.81,888.98,912.74,882.23,"1,027.92",930.95,768.37,848.92,923.04,909.37,863.45,913.11,810.55,872.80,843.21,860.73,912.47,857.49,792.57,799.88,853.16,883.88,868.85,833.27,858.81,836.72,882.20,814.14,983.77,793.24,879.23,866.78,935.47,966.67,945.50,978.69,950.27,861.41,"1,007.23",859.20,953.48,969.37,826.27,"1,221.79",959.30,933.00,"1,013.80","1,085.91",912.45,864.28,"1,039.98",903.91,"1,084.19",930.39,881.18,852.19,"1,102.65",916.05,992.46,"1,010.53",900.38,907.46,"1,055.29",897.47,945.98,529.36
Thailand,Country,"19,150.86","18,014.90","20,596.05","19,731.71","19,814.32","20,221.67","20,514.86","19,962.14","21,182.81","21,550.12","19,527.93","21,288.39","18,703.60","16,927.97","20,484.08","19,373.59","19,183.54","20,016.36","20,331.13","19,507.55","19,885.00","20,313.54","19,123.94","19,307.69","17,561.26","18,507.37","20,140.86","18,228.85","19,201.24","20,404.45","19,466.90","20,719.59","20,839.05","21,161.03","21,577.57","20,188.89","18,365.19","18,746.54","22,247.33","19,435.21","21,148.34","21,311.05","21,145.34","22,893.11","23,413.57","22,108.97","22,648.00","21,940.18","22,302.66","19,853.71","23,950.96","22,215.25","23,083.63","22,942.44","23,363.10","23,400.79","22,928.11","24,072.14","22,579.38","21,109.69","21,638.53","19,403.97","22,458.57","22,201.73","22,490.83","22,501.71","24,126.48","23,422.87","22,259.37","23,309.97","21,497.97","21,693.75","20,888.24","19,689.50","22,326.47","21,261.69"
"Timor-Leste, Dem. Rep. of",Country,2.03,1.85,1.56,1.30,1.42,55.24,1.17,18.46,37.79,5.10,3.47,4.85,10.06,18.66,34.12,0.87,33.38,0.89,61.52,0.91,35.03,34.13,35.33,57.40,1.88,6.33,2.83,8.39,2.89,6.19,1.27,1.47,2.70,5.29,5.65,3.76,3.35,2.24,1.59,1.93,2.03,1.88,1.50,3.65,3.85,40.54,20.67,23.30,2.45,3.78,26.65,24.34,2.67,2.14,2.28,1.88,4.61,2.57,4.57,3.19,3.08,4.22,2.65,2.28,1.96,2.55,1.68,3.91,12.65,64.71,4.38,23.06,4.03,25.42,1.38,8.22
Tonga,Country,0.75,0.85,0.71,0.75,0.59,0.57,0.69,0.82,2.24,1.17,1.82,2.20,1.03,0.77,0.70,0.73,0.52,0.49,0.56,0.46,0.84,1.03,3.11,1.06,0.97,0.82,0.55,0.52,0.58,0.57,1.01,0.98,0.86,2.56,2.84,2.16,1.13,0.90,1.49,0.68,0.84,1.04,0.73,1.06,0.99,2.96,2.79,1.35,0.81,0.66,1.78,0.55,0.64,0.67,0.68,2.69,0.96,1.60,2.26,1.70,0.65,0.78,1.02,2.58,1.37,1.11,1.03,1.35,1.30,1.43,4.25,2.00,0.76,0.82,0.81,0.31
Tuvalu,Country,0.41,1.10,0.54,0.92,0.84,0.81,0.54,1.01,2.19,1.68,1.08,0.62,0.07,0.19,0.66,0.44,0.21,0.20,1.93,0.29,0.23,0.46,0.25,0.22,0.30,0.14,0.47,0.10,0.38,0.14,0.64,0.09,0.48,0.19,0.10,0.34,0.10,0.46,0.29,0.47,0.21,0.12,0.47,0.60,0.13,0.27,0.28,0.18,5.66,3.66,5.94,0.65,0.13,0.35,0.56,0.29,0.08,0.58,0.26,0.23,0.69,0.67,0.69,0.78,1.97,1.02,0.79,0.81,0.74,0.88,0.77,1.38,4.34,0.20,0.23,0.12
Vanuatu,Country,42.78,51.31,69.74,68.87,53.84,39.44,47.82,48.12,48.28,68.15,52.44,50.31,64.42,62.38,84.78,70.36,87.18,86.10,88.17,79.28,75.32,60.21,72.11,80.33,52.59,60.75,52.65,50.25,54.64,54.18,43.72,50.08,59.22,58.85,61.63,47.82,13.10,20.14,22.09,22.03,20.93,24.05,23.50,18.35,20.22,24.61,15.45,29.63,10.23,12.80,16.15,17.94,21.61,23.17,9.54,7.89,9.08,19.78,16.14,24.19,13.90,7.68,14.35,19.90,17.59,16.54,19.30,13.88,13.09,16.96,14.66,15.24,23.11,9.14,16.25,28.02
Vietnam,Country,"13,332.64","10,933.07","12,858.89","13,442.37","12,764.88","13,382.40","13,775.04","13,754.06","15,102.00","15,211.59","14,433.14","14,445.93","14,689.28","12,913.99","15,014.59","14,695.79","14,292.52","16,065.20","15,865.97","16,521.44","16,559.41","16,368.02","16,018.92","15,263.28","16,143.70","15,068.34","17,061.09","16,118.68","16,884.87","17,986.17","17,031.81","19,425.92","18,180.77","18,349.46","19,913.85","18,905.90","19,175.76","16,259.46","19,449.30","19,109.76","21,886.42","20,761.95","21,504.49","23,084.85","23,616.89","24,205.84","24,700.14","23,140.28","25,255.84","20,634.51","22,577.77","21,238.77","22,537.54","22,144.61","24,085.18","26,544.36","26,912.87","28,113.09","25,463.96","21,941.57","24,877.46","20,501.57","25,465.23","24,017.85","24,855.01","23,717.24","27,422.50","29,541.03","30,188.61","29,646.89","27,747.01","27,009.37","25,477.00","23,745.49","27,344.35","22,705.50"
Asia not specified,Country,564.16,572.55,597.67,573.62,606.92,813.84,591.10,566.46,679.08,631.83,589.19,636.43,"1,280.06","1,286.20","1,303.23","1,306.07","1,316.91","1,302.94","1,307.38","1,277.71","1,309.20","1,294.62","1,308.49","1,343.23","2,043.88","1,981.55","2,027.75","3,030.35","1,810.01","2,681.41","2,973.62","2,591.95","2,519.47","2,378.99","2,426.39","2,429.30","1,433.10","1,415.55","1,381.98","1,317.54","1,683.03","1,524.15","1,697.24","2,807.69","2,863.77","2,472.56","2,585.38","2,867.10","1,365.11",424.00,561.57,316.04,"1,147.95",596.16,763.09,636.22,"1,089.91",578.48,482.39,476.47,844.04,748.91,817.09,878.99,892.02,746.42,"2,447.17","2,413.26",788.28,"2,529.43",868.47,895.11,972.66,"1,054.83",979.05,"1,126.42"
Emerging and Developing Europe,Economic,"100,549.30","99,394.64","111,265.55","108,444.65","106,719.75","103,929.38","105,545.89","94,265.15","102,451.64","101,115.26","93,349.39","91,370.65","78,396.63","78,826.18","88,271.22","83,426.02","82,865.07","87,734.05","84,595.48","75,607.00","82,078.83","84,175.54","79,322.50","76,782.06","66,259.75","72,981.00","81,735.55","79,368.92","79,746.16","81,762.92","74,547.71","78,227.93","81,527.76","83,360.97","85,982.33","84,160.28","81,675.20","82,826.20","93,785.56","83,651.04","93,323.89","91,267.79","88,858.45","90,553.26","95,816.41","99,472.43","102,238.35","98,365.63","101,888.76","97,940.37","109,157.47","104,957.74","106,875.22","103,669.91","105,152.37","100,646.94","104,409.13","113,264.17","109,692.47","99,165.46","101,685.01","96,876.98","107,636.44","106,482.54","105,117.77","97,646.47","106,369.73","97,398.83","101,708.79","110,109.05","105,834.60","102,903.72","99,848.47","95,662.75","95,929.18","70,480.97"
Albania,Country,166.61,247.65,227.81,195.13,247.69,201.52,223.81,184.14,250.88,203.97,167.79,161.64,166.29,144.16,140.32,165.39,166.76,177.14,189.86,146.37,172.80,177.70,162.66,140.89,132.44,157.72,156.28,150.52,187.95,191.78,180.36,165.85,188.24,193.02,177.18,175.18,166.90,179.26,193.17,190.69,231.45,214.63,213.44,176.24,230.01,238.07,229.48,197.76,214.89,215.77,258.09,239.89,270.98,245.41,268.20,183.97,233.59,292.20,252.22,213.36,225.59,214.29,250.21,261.05,282.21,233.56,267.71,191.85,256.92,282.15,237.98,219.79,213.48,214.54,174.12,130.23
"Belarus, Rep. of",Country,"1,810.73","1,937.05","2,415.19","2,348.60","2,296.25","2,521.80","2,684.71","2,236.96","2,220.23","2,110.56","1,955.72","1,862.03","1,420.01","1,500.30","1,728.81","1,752.40","1,720.01","1,772.78","1,996.36","1,684.91","1,677.00","1,691.21","1,546.53","1,433.80","1,122.43","1,322.73","1,509.25","1,596.50","1,580.45","1,699.85","1,679.33","1,683.51","1,645.33","1,525.67","1,709.61","1,727.09","1,467.99","1,687.01","1,853.13","1,804.52","2,001.13","1,856.67","1,906.31","2,076.36","2,123.36","1,919.36","1,987.18","1,837.35","1,934.21","2,054.35","2,342.65","2,180.32","2,151.65","2,233.62","2,254.74","2,172.64","2,160.03","2,223.90","2,328.76","2,012.10","2,033.05","2,109.34","2,135.03","2,075.55","2,172.77","2,160.84","2,293.91","2,383.27","2,316.70","2,271.22","2,197.52","2,120.15","1,889.65","1,964.23","2,170.59","1,597.65"
Bosnia and Herzegovina,Country,469.00,453.78,524.59,528.68,475.61,533.01,575.15,434.61,561.07,525.72,474.33,440.95,405.11,416.79,478.49,441.57,457.08,487.68,496.98,421.57,478.20,484.19,438.60,410.58,373.74,431.55,494.76,486.62,484.68,515.70,478.88,483.84,497.35,503.91,609.61,465.58,433.74,483.16,542.40,484.62,563.93,548.62,583.64,554.49,605.22,642.01,642.61,560.33,607.93,592.83,642.20,638.95,642.94,659.31,701.17,568.54,634.26,673.16,624.18,530.97,523.29,551.71,586.57,608.40,589.06,568.60,638.86,464.78,586.58,602.25,568.09,494.02,481.70,511.49,512.29,402.19
Bulgaria,Country,"2,188.13","2,208.09","2,346.47","2,465.46","2,348.46","2,560.48","2,669.25","2,479.55","2,706.99","2,679.39","2,479.28","2,312.42","2,053.03","1,956.50","2,156.90","2,056.86","2,193.79","2,246.56","2,184.71","1,958.87","2,172.09","2,168.09","2,002.47","1,974.76","1,806.66","1,960.55","2,132.43","2,191.58","2,115.16","2,310.78","2,281.35","2,330.78","2,189.17","2,193.92","2,241.41","2,238.33","2,067.92","2,303.94","2,614.50","2,217.05","2,455.93","2,629.96","2,627.54","2,628.14","2,908.61","2,814.11","2,851.21","2,514.38","2,778.83","2,542.90","2,857.13","2,658.32","2,657.55","2,776.65","2,915.67","2,712.10","2,653.35","2,822.00","2,741.27","2,502.43","2,588.85","2,616.37","2,790.02","2,754.74","2,785.33","2,583.19","2,910.04","2,605.72","2,786.87","3,127.70","2,922.80","2,559.31","2,736.51","2,623.95","2,590.77","2,024.45"
"Croatia, Rep. of",Country,871.38,940.91,"1,098.15","1,053.41","1,029.67","1,004.35","1,108.71",912.36,"1,088.80","1,007.62",964.46,990.02,781.07,827.87,997.63,919.36,"1,001.81","1,045.69","1,034.35",839.87,"1,168.99","1,058.74",988.40,976.45,764.92,904.69,"1,013.73","1,098.17","1,102.16","1,075.73","1,019.40","1,027.74","1,137.47","1,074.31","1,188.60","1,306.19",877.90,"1,041.04","1,206.12",991.83,"1,275.73","1,218.68","1,178.07","1,164.28","1,286.84","1,335.17","1,349.76","1,286.55","1,205.07","1,164.29","1,380.34","1,300.65","1,376.29","1,287.87","1,360.33","1,178.82","1,314.71","1,527.40","1,327.89","1,312.60","1,143.43","1,237.87","1,298.64","1,279.08","1,410.26","1,207.62","1,517.58","1,335.35","1,285.71","1,380.18","1,329.16","1,211.94","1,140.35","1,132.00","1,212.30",988.74
Czechoslovakia,Country,0.37,0.26,0.02,0.47,0.15,0.60,0.12,0.26,0.02,0.03,0.89,0.36,39.41,0.64,0.30,0.35,37.17,41.28,41.55,39.82,35.42,0.25,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
