Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Other Countries,456.38,0.05,431.41,0.09,24.97,0.01,406.43,910D1136 Index,136D1910 Index
Cuba,454.24,0.05,429.66,0.09,24.58,0.01,405.08,928D1136 Index,136D1928 Index
Costa Rica,447.29,0.05,179.29,0.04,268,0.07,-88.71,238D1136 Index,136D1238 Index
Turkmenistan,429.95,0.05,247.36,0.05,182.59,0.04,64.78,925D1136 Index,136D1925 Index
Paraguay,414.95,0.05,77.48,0.02,337.47,0.08,-259.98,288D1136 Index,136D1288 Index
Bahrain,408.07,0.05,320.11,0.07,87.95,0.02,232.16,419D1136 Index,136D1419 Index
Dominican Republic,395.85,0.05,360.04,0.08,35.8,0.01,324.24,243D1136 Index,136D1243 Index
Cambodia,367.06,0.04,35.93,0.01,331.13,0.08,-295.19,522D1136 Index,136D1522 Index
Cameroon,358.23,0.04,126.57,0.03,231.66,0.06,-105.1,622D1136 Index,136D1622 Index
Georgia,355.71,0.04,197.66,0.04,158.05,0.04,39.61,915D1136 Index,136D1915 Index
Kenya,330.97,0.04,231.35,0.05,99.62,0.02,131.73,664D1136 Index,136D1664 Index
Equatorial Guinea,319.31,0.04,47.6,0.01,271.72,0.07,-224.12,642D1136 Index,136D1642 Index
Panama,301.55,0.03,271.47,0.06,30.08,0.01,241.39,283D1136 Index,136D1283 Index
Bolivia,253.19,0.03,175.89,0.04,77.3,0.02,98.58,218D1136 Index,136D1218 Index
Uzbekistan,250.1,0.03,244.27,0.05,5.83,0,238.43,927D1136 Index,136D1927 Index
Zambia,248.55,0.03,31.1,0.01,217.45,0.05,-186.35,754D1136 Index,136D1754 Index
Guatemala,236.08,0.03,118.99,0.03,117.09,0.03,1.91,258D1136 Index,136D1258 Index
Mauritius,234.22,0.03,100.74,0.02,133.48,0.03,-32.75,684D1136 Index,136D1684 Index
Senegal,214,0.02,121.37,0.03,92.63,0.02,28.74,722D1136 Index,136D1722 Index
Mauritania,209.09,0.02,55.19,0.01,153.9,0.04,-98.71,682D1136 Index,136D1682 Index
Iceland,194.07,0.02,155.64,0.03,38.42,0.01,117.22,176D1136 Index,136D1176 Index
Trinidad And Tobago,188.65,0.02,142.03,0.03,46.62,0.01,95.4,369D1136 Index,136D1369 Index
Armenia,182.61,0.02,148.54,0.03,34.07,0.01,114.47,911D1136 Index,136D1911 Index
Montenegro,179.13,0.02,130.34,0.03,48.79,0.01,81.56,943D1136 Index,136D1943 Index
Sudan,177.3,0.02,159.84,0.03,17.46,0,142.37,732D1136 Index,136D1732 Index
Syria,168.78,0.02,144.14,0.03,24.64,0.01,119.51,463D1136 Index,136D1463 Index
"Congo, Democratic Republic",155.5,0.02,68.95,0.01,86.55,0.02,-17.6,636D1136 Index,136D1636 Index
Honduras,154,0.02,82.11,0.02,71.89,0.02,10.22,268D1136 Index,136D1268 Index
Uganda,152.93,0.02,31.37,0.01,121.56,0.03,-90.19,746D1136 Index,136D1746 Index
Papua New Guinea,124.34,0.01,15.41,0,108.93,0.03,-93.53,853D1136 Index,136D1853 Index
Tanzania,122.7,0.01,79.05,0.02,43.65,0.01,35.4,738D1136 Index,136D1738 Index
Myanmar,116.18,0.01,53.82,0.01,62.37,0.02,-8.55,518D1136 Index,136D1518 Index
Chad,96.89,0.01,44.35,0.01,52.54,0.01,-8.19,628D1136 Index,136D1628 Index
El Salvador,96.26,0.01,71.13,0.02,25.13,0.01,45.99,253D1136 Index,136D1253 Index
Zimbabwe,94.38,0.01,10.4,0,83.98,0.02,-73.58,698D1136 Index,136D1698 Index
Mali,86.99,0.01,76.15,0.02,10.84,0,65.32,678D1136 Index,136D1678 Index
Mongolia,85.36,0.01,33.27,0.01,52.1,0.01,-18.83,948D1136 Index,136D1948 Index
Madagascar,82.87,0.01,47.32,0.01,35.55,0.01,11.78,674D1136 Index,136D1674 Index
Nicaragua,78.75,0.01,38.64,0.01,40.11,0.01,-1.48,278D1136 Index,136D1278 Index
Burkina Faso,71.34,0.01,65.47,0.01,5.87,0,59.6,748D1136 Index,136D1748 Index
Brunei Darussalam,63.86,0.01,63.82,0.01,0.04,0,63.79,516D1136 Index,136D1516 Index
Seychelles,63.26,0.01,23.1,0.01,40.16,0.01,-17.05,718D1136 Index,136D1718 Index
Tajikistan,60.81,0.01,11.09,0,49.72,0.01,-38.63,923D1136 Index,136D1923 Index
New Caledonia,59.83,0.01,57.12,0.01,2.7,0,54.42,839D1136 Index,136D1839 Index
Solomon Islands,44.29,0.01,0.21,0,44.09,0.01,-43.88,813D1136 Index,136D1813 Index
Liberia,43.46,0,40.17,0.01,3.28,0,36.89,668D1136 Index,136D1668 Index
Maldives,38.92,0,23.48,0.01,15.44,0,8.04,556D1136 Index,136D1556 Index
Togo,36.67,0,25.94,0.01,10.73,0,15.22,742D1136 Index,136D1742 Index
Guinea,35.64,0,30.56,0.01,5.08,0,25.48,656D1136 Index,136D1656 Index
Benin,35.32,0,28.95,0.01,6.37,0,22.57,638D1136 Index,136D1638 Index
Malawi,34.48,0,12.64,0,21.85,0.01,-9.21,676D1136 Index,136D1676 Index
Djibouti,34.23,0,32.79,0.01,1.44,0,31.35,611D1136 Index,136D1611 Index
Jamaica,30.87,0,28.19,0.01,2.68,0,25.52,343D1136 Index,136D1343 Index
Rwanda,28.79,0,25.86,0.01,2.93,0,22.93,714D1136 Index,136D1714 Index
Guyana,28.78,0,4.73,0,24.05,0.01,-19.32,336D1136 Index,136D1336 Index
