Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Zambia,117.19,0.01,97.77,0.03,19.42,0,78.35,754D1112 Index,112D1754 Index
Bosnia and Herzegovina,116.99,0.01,77.49,0.02,39.51,0.01,37.98,963D1112 Index,112D1963 Index
Papua New Guinea,115.68,0.01,9.87,0,105.81,0.02,-95.93,853D1112 Index,112D1853 Index
Zimbabwe,100.44,0.01,84.31,0.02,16.13,0,68.18,698D1112 Index,112D1698 Index
Georgia,92.63,0.01,76.39,0.02,16.24,0,60.15,915D1112 Index,112D1915 Index
Uganda,91.09,0.01,76.35,0.02,14.73,0,61.62,746D1112 Index,112D1746 Index
Moldova,89.82,0.01,50.15,0.01,39.67,0.01,10.47,921D1112 Index,112D1921 Index
Sudan,87.9,0.01,77.96,0.02,9.95,0,68.01,732D1112 Index,112D1732 Index
Nicaragua,87.18,0.01,10.73,0,76.44,0.01,-65.71,278D1112 Index,112D1278 Index
Burkina Faso,80.74,0.01,76.75,0.02,3.99,0,72.76,748D1112 Index,112D1748 Index
Barbados,79.69,0.01,72.71,0.02,6.98,0,65.74,316D1112 Index,112D1316 Index
Belize,79.49,0.01,9.99,0,69.5,0.01,-59.5,339D1112 Index,112D1339 Index
Gabon,70.14,0.01,53.6,0.01,16.54,0,37.05,646D1112 Index,112D1646 Index
Panama,70,0.01,37.92,0.01,32.08,0.01,5.83,283D1112 Index,112D1283 Index
Bolivia,65.74,0.01,29.52,0.01,36.22,0.01,-6.71,218D1112 Index,112D1218 Index
Albania,63.86,0.01,51.2,0.01,12.66,0,38.54,914D1112 Index,112D1914 Index
Venezuela,59.96,0.01,12.59,0,47.37,0.01,-34.79,299D1112 Index,112D1299 Index
Equatorial Guinea,59.57,0.01,43.11,0.01,16.46,0,26.65,642D1112 Index,112D1642 Index
Benin,58.14,0.01,56.42,0.01,1.72,0,54.7,638D1112 Index,112D1638 Index
Madagascar,56.98,0.01,20.64,0.01,36.34,0.01,-15.7,674D1112 Index,112D1674 Index
Mali,53.62,0.01,48.46,0.01,5.16,0,43.31,678D1112 Index,112D1678 Index
Bermuda,49.03,0,48.22,0.01,0.81,0,47.41,319D1112 Index,112D1319 Index
Fiji,48.84,0,13.28,0,35.57,0.01,-22.29,819D1112 Index,112D1819 Index
New Caledonia,46.33,0,42.45,0.01,3.89,0,38.56,839D1112 Index,112D1839 Index
El Salvador,44.05,0,29.81,0.01,14.24,0,15.58,253D1112 Index,112D1253 Index
Guyana,42.03,0,3.13,0,38.9,0.01,-35.77,336D1112 Index,112D1336 Index
Mongolia,40.62,0,32.96,0.01,7.66,0,25.3,948D1112 Index,112D1948 Index
St. Lucia,37.32,0,32.75,0.01,4.56,0,28.19,362D1112 Index,112D1362 Index
Armenia,32.89,0,29.49,0.01,3.4,0,26.1,911D1112 Index,112D1911 Index
