Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Malta,834.38,0.04,420.5,0.03,413.88,0.04,6.62,181D1134 Index,134D1181 Index
Sri Lanka,815.97,0.03,345.69,0.03,470.27,0.04,-124.58,524D1134 Index,134D1524 Index
Kuwait,651.62,0.03,586.71,0.04,64.91,0.01,521.81,443D1134 Index,134D1443 Index
Cyprus,650.31,0.03,486.08,0.04,164.23,0.02,321.85,423D1134 Index,134D1423 Index
Uruguay,632.73,0.03,404.45,0.03,228.28,0.02,176.17,298D1134 Index,134D1298 Index
Kenya,630.84,0.03,482.42,0.04,148.42,0.01,334.01,664D1134 Index,134D1664 Index
Honduras,593.86,0.03,171.07,0.01,422.79,0.04,-251.72,268D1134 Index,134D1268 Index
Iceland,590.21,0.02,456.37,0.03,133.84,0.01,322.52,176D1134 Index,134D1176 Index
Costa Rica,572.22,0.02,378.49,0.03,193.72,0.02,184.77,238D1134 Index,134D1238 Index
Bahrain,563.8,0.02,546.32,0.04,17.48,0,528.85,419D1134 Index,134D1419 Index
Ghana,553.97,0.02,322.26,0.02,231.71,0.02,90.55,652D1134 Index,134D1652 Index
Ethiopia,539.84,0.02,354.22,0.03,185.62,0.02,168.6,644D1134 Index,134D1644 Index
Georgia,525.52,0.02,432.43,0.03,93.09,0.01,339.34,915D1134 Index,134D1915 Index
Moldova,473.49,0.02,321.3,0.02,152.19,0.01,169.11,921D1134 Index,134D1921 Index
Dominican Republic,430.29,0.02,332.21,0.03,98.09,0.01,234.12,243D1134 Index,134D1243 Index
Guatemala,408.4,0.02,288.85,0.02,119.55,0.01,169.3,258D1134 Index,134D1258 Index
Angola,386.21,0.02,301.88,0.02,84.33,0.01,217.55,614D1134 Index,134D1614 Index
Paraguay,379.85,0.02,226.64,0.02,153.2,0.01,73.44,288D1134 Index,134D1288 Index
Bermuda,367.63,0.02,367.55,0.03,0.08,0,367.46,319D1134 Index,134D1319 Index
Turkmenistan,365.56,0.02,355.28,0.03,10.28,0,345,925D1134 Index,134D1925 Index
Papua New Guinea,354.39,0.01,39.92,0,314.47,0.03,-274.56,853D1134 Index,134D1853 Index
Armenia,347.31,0.01,201.87,0.02,145.44,0.01,56.43,911D1134 Index,134D1911 Index
Other Countries,343.16,0.01,313.4,0.02,29.76,0,283.63,910D1134 Index,134D1910 Index
Albania,338.79,0.01,288.36,0.02,50.43,0,237.92,914D1134 Index,134D1914 Index
Panama,338.24,0.01,281.47,0.02,56.77,0.01,224.71,283D1134 Index,134D1283 Index
Cuba,333.27,0.01,304.96,0.02,28.32,0,276.64,928D1134 Index,134D1928 Index
Tanzania,317.92,0.01,160.4,0.01,157.52,0.01,2.88,738D1134 Index,134D1738 Index
Macau,302.78,0.01,260.14,0.02,42.64,0,217.49,546D1134 Index,134D1546 Index
Bolivia,299.47,0.01,232.52,0.02,66.95,0.01,165.57,218D1134 Index,134D1218 Index
Myanmar,298.53,0.01,91.48,0.01,207.05,0.02,-115.57,518D1134 Index,134D1518 Index
"Congo, Democratic Republic",284.46,0.01,231.09,0.02,53.38,0.01,177.71,636D1134 Index,134D1636 Index
Trinidad And Tobago,265.28,0.01,197.84,0.02,67.43,0.01,130.41,369D1134 Index,134D1369 Index
Cameroon,260.1,0.01,217.08,0.02,43.02,0,174.06,622D1134 Index,134D1622 Index
Congo,245.21,0.01,232.84,0.02,12.37,0,220.47,634D1134 Index,134D1634 Index
Sudan,228.89,0.01,208.9,0.02,19.99,0,188.91,732D1134 Index,134D1732 Index
El Salvador,225.39,0.01,175.51,0.01,49.88,0,125.63,253D1134 Index,134D1253 Index
Uganda,207.66,0.01,108.08,0.01,99.58,0.01,8.5,746D1134 Index,134D1746 Index
Madagascar,206.83,0.01,78.44,0.01,128.39,0.01,-49.95,674D1134 Index,134D1674 Index
Guinea,170.49,0.01,35.54,0,134.96,0.01,-99.42,656D1134 Index,134D1656 Index
Mali,162.1,0.01,160.78,0.01,1.33,0,159.45,678D1134 Index,134D1678 Index
Montenegro,150.29,0.01,128.81,0.01,21.48,0,107.33,943D1134 Index,134D1943 Index
Senegal,148.94,0.01,141.38,0.01,7.56,0,133.82,722D1134 Index,134D1722 Index
Nicaragua,142.87,0.01,88.43,0.01,54.43,0.01,34,278D1134 Index,134D1278 Index
Mongolia,133.71,0.01,124.43,0.01,9.29,0,115.14,948D1134 Index,134D1948 Index
Mauritius,129.64,0.01,110.09,0.01,19.56,0,90.53,684D1134 Index,134D1684 Index
Laos,128.45,0.01,48.19,0,80.26,0.01,-32.06,544D1134 Index,134D1544 Index
Nepal,123.36,0.01,88.8,0.01,34.56,0,54.24,558D1134 Index,134D1558 Index
Mozambique,121.86,0.01,92.86,0.01,29.01,0,63.85,688D1134 Index,134D1688 Index
Brunei Darussalam,114.21,0,112.75,0.01,1.46,0,111.29,516D1134 Index,134D1516 Index
Kyrgyzstan,107.2,0,92.9,0.01,14.31,0,78.59,917D1134 Index,134D1917 Index
Burkina Faso,102.16,0,85.77,0.01,16.39,0,69.37,748D1134 Index,134D1748 Index
Faeroe Islands,94.28,0,76.16,0.01,18.12,0,58.04,816D1134 Index,134D1816 Index
Equatorial Guinea,93.33,0,31.68,0,61.66,0.01,-29.98,642D1134 Index,134D1642 Index
Jamaica,87.63,0,83.8,0.01,3.82,0,79.98,343D1134 Index,134D1343 Index
Zambia,83.72,0,71.43,0.01,12.29,0,59.14,754D1134 Index,134D1754 Index
Mauritania,82.66,0,44.05,0,38.61,0,5.44,682D1134 Index,134D1682 Index
Tajikistan,82.44,0,80.39,0.01,2.05,0,78.34,923D1134 Index,134D1923 Index
Rwanda,81.12,0,56.1,0,25.02,0,31.08,714D1134 Index,134D1714 Index
Malawi,74.68,0,27.83,0,46.84,0,-19.01,676D1134 Index,134D1676 Index
Togo,71.97,0,63.81,0,8.16,0,55.64,742D1134 Index,134D1742 Index
Syria,70.39,0,58.95,0,11.43,0,47.52,463D1134 Index,134D1463 Index
Maldives,60.06,0,35.7,0,24.36,0,11.34,556D1134 Index,134D1556 Index
Gabon,57.33,0,38.01,0,19.32,0,18.69,646D1134 Index,134D1646 Index
Liberia,55.55,0,42.08,0,13.47,0,28.6,668D1134 Index,134D1668 Index
Peoples Democratic Republic of Yemen,45.15,0,42.73,0,2.41,0,40.32,474D1134 Index,134D1474 Index
Zimbabwe,44.19,0,20.73,0,23.45,0,-2.72,698D1134 Index,134D1698 Index
Niger,41.86,0,41.8,0,0.06,0,41.74,692D1134 Index,134D1692 Index
Afghanistan,39.81,0,30.98,0,8.83,0,22.15,512D1134 Index,134D1512 Index
Benin,34.6,0,33.46,0,1.14,0,32.33,638D1134 Index,134D1638 Index
Barbados,28.98,0,26.97,0,2.01,0,24.95,316D1134 Index,134D1316 Index
Haiti,25.93,0,24.27,0,1.66,0,22.61,263D1134 Index,134D1263 Index
Chad,24.16,0,20.65,0,3.51,0,17.13,628D1134 Index,134D1628 Index
New Caledonia,23.65,0,22.64,0,1.01,0,21.63,839D1134 Index,134D1839 Index
Sierra Leone,23.07,0,13.1,0,9.97,0,3.14,724D1134 Index,134D1724 Index
Burundi,22.77,0,8.2,0,14.57,0,-6.37,618D1134 Index,134D1618 Index
Seychelles,22.37,0,18.89,0,3.48,0,15.42,718D1134 Index,134D1718 Index
Somalia,18.24,0,17.52,0,0.73,0,16.79,726D1134 Index,134D1726 Index
Bahamas,17.1,0,12.24,0,4.86,0,7.38,313D1134 Index,134D1313 Index
Greenland,13.54,0,13.29,0,0.25,0,13.05,326D1134 Index,134D1326 Index
Fiji,12.4,0,9.92,0,2.49,0,7.43,819D1134 Index,134D1819 Index
Guyana,12.38,0,10.89,0,1.5,0,9.39,336D1134 Index,134D1336 Index
Gambia,11.92,0,11.33,0,0.59,0,10.74,648D1134 Index,134D1648 Index
Suriname,11.2,0,10.15,0,1.05,0,9.1,366D1134 Index,134D1366 Index
Belize,11.15,0,11.09,0,0.06,0,11.03,339D1134 Index,134D1339 Index
Cape Verde,10.51,0,9.96,0,0.55,0,9.41,624D1134 Index,134D1624 Index
North Korea,9.89,0,8.44,0,1.45,0,6.99,954D1134 Index,134D1954 Index
Aruba,7.9,0,6.97,0,0.94,0,6.03,314D1134 Index,134D1314 Index
St. Kitts And Nevis,4.92,0,0.65,0,4.27,0,-3.63,361D1134 Index,134D1361 Index
Central African Rep.,4.53,0,4.18,0,0.35,0,3.83,626D1134 Index,134D1626 Index
St. Vincent & Grens.,4.05,0,4.02,0,0.02,0,4,364I1134 Index,134D1364 Index
Comoros,3.88,0,0.79,0,3.09,0,-2.29,632D1134 Index,134D1632 Index
St. Lucia,3.73,0,3.5,0,0.23,0,3.27,362D1134 Index,134D1362 Index
Grenada,3.55,0,2.68,0,0.87,0,1.8,328D1134 Index,134D1328 Index
Djibouti,2.95,0,2.84,0,0.11,0,2.74,611D1134 Index,134D1611 Index
Solomon Islands,1.15,0,0.76,0,0.39,0,0.36,813D1134 Index,134D1813 Index
Dominica,0.99,0,0.97,0,0.02,0,0.96,321D1134 Index,134D1321 Index
Samoa,0.89,0,0.69,0,0.19,0,0.5,862D1134 Index,134D1862 Index
Sao Tome & Principe,0.56,0,0.56,0,0,0,0.56,716D1134 Index,134D1716 Index
Vanuatu,0.35,0,0.34,0,0.02,0,0.32,846D1134 Index,134D1846 Index
Tonga,0.27,0,0.23,0,0.04,0,0.19,866D1134 Index,134D1866 Index
Guinea-Bissau,0.12,0,0.07,0,0.05,0,0.03,654D1134 Index,134D1654 Index
Netherlands Antilles,0,0,0,0,0,0,0,353D1134 Index,134D1353 Index
