Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Oman,359.99,0.03,258.91,0.04,101.08,0.01,157.83,449D1132 Index,132D1449 Index
Cambodia,351.59,0.03,68.24,0.01,283.35,0.04,-215.1,522D1132 Index,132D1522 Index
Kenya,331.21,0.03,252.58,0.04,78.63,0.01,173.94,664D1132 Index,132D1664 Index
Other Countries,324.14,0.03,310.93,0.05,13.21,0,297.72,910D1132 Index,132D1910 Index
Cuba,322.29,0.03,309.78,0.05,12.51,0,297.27,928D1132 Index,132D1928 Index
Trinidad And Tobago,306.5,0.02,60.15,0.01,246.35,0.04,-186.2,369D1132 Index,132D1369 Index
Benin,304.33,0.02,299.48,0.05,4.85,0,294.63,638D1132 Index,132D1638 Index
Peoples Democratic Republic of Yemen,299.8,0.02,298.66,0.05,1.14,0,297.53,474D1132 Index,132D1474 Index
Turkmenistan,299.54,0.02,265.83,0.04,33.71,0,232.12,925D1132 Index,132D1925 Index
Bosnia and Herzegovina,298.2,0.02,221.06,0.04,77.13,0.01,143.93,963D1132 Index,132D1963 Index
Uzbekistan,273.66,0.02,144.77,0.02,128.89,0.02,15.88,927D1132 Index,132D1927 Index
Bolivia,259,0.02,188.59,0.03,70.41,0.01,118.17,218D1132 Index,132D1218 Index
Djibouti,248.72,0.02,246.57,0.04,2.15,0,244.42,611D1132 Index,132D1611 Index
Uruguay,243.44,0.02,195.93,0.03,47.5,0.01,148.43,298D1132 Index,132D1298 Index
Guinea,242.78,0.02,135.81,0.02,106.96,0.02,28.85,656D1132 Index,132D1656 Index
"Congo, Democratic Republic",235.67,0.02,221.61,0.04,14.06,0,207.55,636D1132 Index,132D1636 Index
Seychelles,234.39,0.02,95.79,0.02,138.6,0.02,-42.81,718D1132 Index,132D1718 Index
Paraguay,224.2,0.02,127.71,0.02,96.49,0.01,31.22,288D1132 Index,132D1288 Index
Costa Rica,209.99,0.02,105.79,0.02,104.21,0.02,1.58,238D1132 Index,132D1238 Index
Dominican Republic,209.8,0.02,164.85,0.03,44.94,0.01,119.91,243D1132 Index,132D1243 Index
Mozambique,199.29,0.02,69.51,0.01,129.78,0.02,-60.26,688D1132 Index,132D1688 Index
Ethiopia,186.94,0.01,145.41,0.02,41.53,0.01,103.88,644D1132 Index,132D1644 Index
Chad,183.04,0.01,175.72,0.03,7.33,0,168.39,628D1132 Index,132D1628 Index
Togo,176.76,0.01,164.99,0.03,11.77,0,153.22,742D1132 Index,132D1742 Index
Panama,175.2,0.01,162.14,0.03,13.06,0,149.08,283D1132 Index,132D1283 Index
