Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Senegal,534.04,0.05,481.98,0.08,52.07,0.01,429.91,722D1138 Index,138D1722 Index
Cambodia,518,0.04,38.84,0.01,479.17,0.08,-440.33,522D1138 Index,138D1522 Index
Guatemala,482.59,0.04,109.13,0.02,373.46,0.06,-264.32,258D1138 Index,138D1258 Index
Ethiopia,445.68,0.04,289.16,0.05,156.53,0.03,132.63,644D1138 Index,138D1644 Index
Sri Lanka,444.04,0.04,100.91,0.02,343.13,0.06,-242.22,524D1138 Index,138D1524 Index
Gabon,417.1,0.04,70.47,0.01,346.64,0.06,-276.17,646D1138 Index,138D1646 Index
Tunisia,417.05,0.04,188.91,0.03,228.15,0.04,-39.24,744D1138 Index,138D1744 Index
Angola,395.17,0.03,70.44,0.01,324.73,0.05,-254.29,614D1138 Index,138D1614 Index
Mozambique,386.17,0.03,53.98,0.01,332.19,0.06,-278.2,688D1138 Index,138D1688 Index
Papua New Guinea,379.88,0.03,14.9,0,364.99,0.06,-350.09,853D1138 Index,138D1853 Index
Panama,357.36,0.03,52.47,0.01,304.89,0.05,-252.41,283D1138 Index,138D1283 Index
Kazakhstan,351.5,0.03,211.56,0.04,139.94,0.02,71.62,916D1138 Index,138D1916 Index
Trinidad And Tobago,332.74,0.03,55.58,0.01,277.15,0.05,-221.57,369D1138 Index,138D1369 Index
Honduras,325.4,0.03,28.27,0,297.13,0.05,-268.86,268D1138 Index,138D1268 Index
Lebanon,316.72,0.03,253.65,0.04,63.07,0.01,190.57,446D1138 Index,138D1446 Index
Oman,293.52,0.03,217.26,0.04,76.26,0.01,140.99,449D1138 Index,138D1449 Index
Myanmar,280.06,0.02,38.18,0.01,241.88,0.04,-203.7,518D1138 Index,138D1518 Index
Uganda,272.46,0.02,200.41,0.03,72.05,0.01,128.35,746D1138 Index,138D1746 Index
Guinea,262.76,0.02,239.3,0.04,23.45,0,215.85,656D1138 Index,138D1656 Index
Malta,257.21,0.02,189.44,0.03,67.77,0.01,121.67,181D1138 Index,138D1181 Index
Bahrain,249.35,0.02,89.66,0.02,159.68,0.03,-70.02,419D1138 Index,138D1419 Index
"Congo, Democratic Republic",238.31,0.02,150.48,0.03,87.83,0.01,62.65,636D1138 Index,138D1636 Index
Bosnia and Herzegovina,235.23,0.02,138.71,0.02,96.52,0.02,42.2,963D1138 Index,138D1963 Index
Jordan,234.83,0.02,174.04,0.03,60.78,0.01,113.26,439D1138 Index,138D1439 Index
Macedonia,217.59,0.02,134.87,0.02,82.73,0.01,52.14,962D1138 Index,138D1962 Index
Suriname,213.76,0.02,178.09,0.03,35.67,0.01,142.42,366D1138 Index,138D1366 Index
Tanzania,212.61,0.02,134.24,0.02,78.37,0.01,55.87,738D1138 Index,138D1738 Index
Bermuda,210.45,0.02,11.72,0,198.73,0.03,-187.01,319D1138 Index,138D1319 Index
Bolivia,198.68,0.02,45.73,0.01,152.95,0.03,-107.21,218D1138 Index,138D1218 Index
