Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Mauritania,353.92,0.06,15.35,0,338.57,0.12,-323.22,682D1146 Index,146D1682 Index
Sri Lanka,344.54,0.06,129.56,0.04,214.98,0.08,-85.42,524D1146 Index,146D1524 Index
Ethiopia,327.66,0.06,48.9,0.02,278.76,0.1,-229.86,644D1146 Index,146D1644 Index
Senegal,307.61,0.05,32,0.01,275.61,0.1,-243.62,722D1146 Index,146D1722 Index
Dominican Republic,302.68,0.05,52.7,0.02,249.98,0.09,-197.28,243D1146 Index,146D1243 Index
Mali,289.38,0.05,6.69,0,282.69,0.1,-276,678D1146 Index,146D1678 Index
Bahrain,281.51,0.05,248.57,0.08,32.93,0.01,215.64,419D1146 Index,146D1419 Index
Ecuador,269.02,0.05,123.07,0.04,145.96,0.05,-22.89,248D1146 Index,146D1248 Index
Togo,265.01,0.05,6.38,0,258.63,0.09,-252.25,742D1146 Index,146D1742 Index
Lithuania,257.72,0.04,116.37,0.04,141.35,0.05,-24.99,946D1146 Index,146D1946 Index
Tajikistan,240.16,0.04,119.62,0.04,120.54,0.04,-0.92,923D1146 Index,146D1923 Index
Costa Rica,231.28,0.04,116.82,0.04,114.46,0.04,2.36,238D1146 Index,146D1238 Index
Panama,181.94,0.03,36.16,0.01,145.79,0.05,-109.63,283D1146 Index,146D1283 Index
Oman,180.34,0.03,176.28,0.06,4.06,0,172.21,449D1146 Index,146D1449 Index
Latvia,177.53,0.03,122.65,0.04,54.88,0.02,67.77,941D1146 Index,146D1941 Index
Albania,174.24,0.03,159.75,0.05,14.5,0.01,145.25,914D1146 Index,146D1914 Index
Estonia,166.63,0.03,115.8,0.04,50.83,0.02,64.97,939D1146 Index,146D1939 Index
Macedonia,160.12,0.03,76.68,0.02,83.44,0.03,-6.77,962D1146 Index,146D1962 Index
Bosnia and Herzegovina,154.92,0.03,57.59,0.02,97.33,0.04,-39.74,963D1146 Index,146D1963 Index
Armenia,150.9,0.03,146.06,0.05,4.84,0,141.22,911D1146 Index,146D1911 Index
Uruguay,150.53,0.03,38.74,0.01,111.79,0.04,-73.05,298D1146 Index,146D1298 Index
Kenya,132.1,0.02,88.96,0.03,43.13,0.02,45.83,664D1146 Index,146D1664 Index
Bolivia,129.89,0.02,59.68,0.02,70.21,0.03,-10.53,218D1146 Index,146D1218 Index
Angola,125.01,0.02,124.83,0.04,0.18,0,124.64,614D1146 Index,146D1614 Index
Cambodia,113.72,0.02,8.28,0,105.45,0.04,-97.17,522D1146 Index,146D1522 Index
Benin,113.58,0.02,26.14,0.01,87.44,0.03,-61.3,638D1146 Index,146D1638 Index
Mozambique,111.39,0.02,45.09,0.01,66.3,0.02,-21.22,688D1146 Index,146D1688 Index
Iceland,106.25,0.02,74.33,0.02,31.92,0.01,42.4,176D1146 Index,146D1176 Index
Mauritius,90.72,0.02,47.3,0.02,43.42,0.02,3.88,684D1146 Index,146D1684 Index
Bahamas,90.22,0.02,15.84,0.01,74.38,0.03,-58.55,313D1146 Index,146D1313 Index
Malta,72.93,0.01,58.79,0.02,14.13,0.01,44.66,181D1146 Index,146D1181 Index
Guatemala,70.74,0.01,22.08,0.01,48.66,0.02,-26.57,258D1146 Index,146D1258 Index
Other Countries,65.21,0.01,27.99,0.01,37.22,0.01,-9.23,910D1146 Index,146D1910 Index
Georgia,62.43,0.01,60.62,0.02,1.81,0,58.81,915D1146 Index,146D1915 Index
Malawi,62.4,0.01,55.23,0.02,7.17,0,48.06,676D1146 Index,146D1676 Index
Cyprus,60.46,0.01,53.59,0.02,6.87,0,46.72,423D1146 Index,146D1423 Index
Moldova,58.34,0.01,42.42,0.01,15.93,0.01,26.49,921D1146 Index,146D1921 Index
Cuba,58.03,0.01,24.11,0.01,33.92,0.01,-9.81,928D1146 Index,146D1928 Index
Turkmenistan,53.78,0.01,23.46,0.01,30.32,0.01,-6.86,925D1146 Index,146D1925 Index
Niger,51.44,0.01,27.83,0.01,23.62,0.01,4.21,692D1146 Index,146D1692 Index
Guinea,50.93,0.01,6.19,0,44.73,0.02,-38.54,656D1146 Index,146D1656 Index
Myanmar,44.78,0.01,16.2,0.01,28.58,0.01,-12.37,518D1146 Index,146D1518 Index
Zambia,44.73,0.01,40.6,0.01,4.13,0,36.47,754D1146 Index,146D1754 Index
Gabon,42.11,0.01,0.86,0,41.25,0.01,-40.4,646D1146 Index,146D1646 Index
El Salvador,41.19,0.01,39.12,0.01,2.07,0,37.04,253D1146 Index,146D1253 Index
Liberia,39.2,0.01,38.16,0.01,1.04,0,37.12,668D1146 Index,146D1668 Index
Nepal,35.77,0.01,26.53,0.01,9.24,0,17.28,558D1146 Index,146D1558 Index
Uganda,35.13,0.01,24.99,0.01,10.14,0,14.84,746D1146 Index,146D1746 Index
Paraguay,34.57,0.01,25.76,0.01,8.8,0,16.96,288D1146 Index,146D1288 Index
