Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Laos,96.64,0.01,52.76,0.01,43.88,0.01,8.88,544D1542 Index,542D1544 Index
Cote D Ivoire,96.38,0.01,91.13,0.02,5.25,0,85.88,662D1542 Index,542D1662 Index
Aruba,88.34,0.01,4.47,0,83.86,0.02,-79.39,314D1542 Index,542D1314 Index
Guinea,84.19,0.01,7.23,0,76.96,0.02,-69.73,656D1542 Index,542D1656 Index
Afghanistan,73.35,0.01,72.29,0.01,1.06,0,71.23,512D1542 Index,542D1512 Index
Turkmenistan,73.15,0.01,73.14,0.01,0.01,0,73.13,925D1542 Index,542D1925 Index
Georgia,72.99,0.01,58.31,0.01,14.68,0,43.63,915D1542 Index,542D1915 Index
Peoples Democratic Republic of Yemen,72.92,0.01,32.92,0.01,40,0.01,-7.08,474D1542 Index,542D1474 Index
Lebanon,71.38,0.01,51.03,0.01,20.35,0,30.68,446D1542 Index,542D1446 Index
Togo,71.2,0.01,22.18,0,49.01,0.01,-26.83,742D1542 Index,542D1742 Index
Armenia,70.15,0.01,42.63,0.01,27.52,0.01,15.11,911D1542 Index,542D1911 Index
Mauritius,69.06,0.01,59.7,0.01,9.37,0,50.33,684D1542 Index,542D1684 Index
Uganda,63.85,0.01,57.26,0.01,6.59,0,50.67,746D1542 Index,542D1746 Index
Bosnia and Herzegovina,63.77,0.01,39.94,0.01,23.83,0.01,16.11,963D1542 Index,542D1963 Index
Moldova,60.87,0.01,43.38,0.01,17.49,0,25.89,921D1542 Index,542D1921 Index
Fiji,57.5,0.01,45.44,0.01,12.06,0,33.38,819D1542 Index,542D1819 Index
Tajikistan,53.8,0.01,53.46,0.01,0.34,0,53.12,923D1542 Index,542D1923 Index
Solomon Islands,52.83,0.01,41.78,0.01,11.05,0,30.73,813D1542 Index,542D1813 Index
Iceland,50.29,0,36.38,0.01,13.91,0,22.47,176D1542 Index,542D1176 Index
Kyrgyzstan,48.16,0,47.62,0.01,0.54,0,47.08,917D1542 Index,542D1917 Index
Rwanda,43.36,0,41.55,0.01,1.81,0,39.74,714D1542 Index,542D1714 Index
Albania,40.95,0,36.31,0.01,4.65,0,31.66,914D1542 Index,542D1914 Index
Zambia,39.34,0,23.79,0,15.55,0,8.25,754D1542 Index,542D1754 Index
Mali,37.52,0,36.25,0.01,1.27,0,34.98,678D1542 Index,542D1678 Index
Macedonia,37.25,0,28.68,0,8.57,0,20.11,962D1542 Index,542D1962 Index
Jamaica,33.84,0,30.97,0.01,2.88,0,28.09,343D1542 Index,542D1343 Index
St. Kitts And Nevis,32.9,0,32.86,0.01,0.04,0,32.81,361D1542 Index,542D1361 Index
Malawi,30.58,0,13.71,0,16.88,0,-3.17,676D1542 Index,542D1676 Index
